,device_1_plugged_in,device_2_plugged_in,device_3_plugged_in,device_4_plugged_in,device_5_plugged_in,device_6_plugged_in,device_7_plugged_in,device_1_kWh_charged,device_2_kWh_charged,device_3_kWh_charged,device_4_kWh_charged,device_5_kWh_charged,device_6_kWh_charged,device_7_kWh_charged
2023-12-15 09:45:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 10:00:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 10:15:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 10:30:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 10:45:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 11:00:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 11:15:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 11:30:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 11:45:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 12:00:00+00:00,False,False,True,False,True,False,False,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.0
2023-12-15 12:15:00+00:00,False,False,True,False,True,False,True,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 12:30:00+00:00,False,False,True,False,True,False,True,0.0,0.0,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 12:45:00+00:00,False,True,True,False,True,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 13:00:00+00:00,False,True,True,False,True,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 13:15:00+00:00,False,True,True,False,True,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 13:30:00+00:00,False,True,True,False,True,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 13:45:00+00:00,False,True,True,False,True,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 14:00:00+00:00,False,True,True,False,True,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0355649773391813,0.0,0.18719645443196004
2023-12-15 14:15:00+00:00,False,True,True,False,False,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0,0.0,0.18719645443196004
2023-12-15 14:30:00+00:00,False,True,True,False,False,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0,0.0,0.18719645443196004
2023-12-15 14:45:00+00:00,False,True,True,False,False,False,True,0.0,0.556037017580872,0.46086243691983114,0.0,0.0,0.0,0.18719645443196004
2023-12-15 15:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 15:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 15:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 15:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 16:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 16:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 16:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 16:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 17:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 17:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 17:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 17:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 18:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 18:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 18:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 18:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 19:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 19:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 19:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 19:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 20:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 20:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 20:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 20:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 21:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 21:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 21:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 21:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 22:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 22:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 22:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 22:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 23:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 23:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 23:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-15 23:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 00:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 00:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 00:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 00:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 01:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 01:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 01:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 01:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 02:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 02:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 02:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 02:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 03:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 03:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 03:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 03:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 04:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 04:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 04:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 04:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 05:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 05:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 05:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 05:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 06:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 06:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 06:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 06:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 07:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 07:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 07:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 07:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 08:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 08:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 08:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 08:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 09:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 09:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 09:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 09:45:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 10:00:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 10:15:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 10:30:00+00:00,False,True,False,False,False,False,True,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.18719645443196004
2023-12-16 10:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 11:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 11:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 11:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 11:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 12:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 12:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 12:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 12:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 13:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 13:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 13:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 13:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 14:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 14:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 14:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 14:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 15:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 15:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 15:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 15:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 16:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 16:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 16:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 16:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 17:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 17:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 17:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 17:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 18:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 18:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 18:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 18:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 19:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 19:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 19:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 19:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 20:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 20:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 20:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 20:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 21:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 21:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 21:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 21:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 22:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 22:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 22:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 22:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 23:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 23:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 23:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-16 23:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 00:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 00:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 00:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 00:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 01:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 01:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 01:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 01:45:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 02:00:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 02:15:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
2023-12-17 02:30:00+00:00,False,True,False,False,False,False,False,0.0,0.556037017580872,0.0,0.0,0.0,0.0,0.0
